station,longitude,latitude
MNHN,-102.7614,31.3402
ODSA,-102.5491,32.1201
PB01,-103.7811,30.9437
PB03,-103.514,31.0838
PB04,-103.2694,31.187
PB05,-103.3247,30.9198
PB06,-103.2183,31.6472
PB07,-103.6679,31.5794
PB08,-102.9074,30.8917
PB10,-103.7546,31.2836
PB11,-104.0341,31.9355
PB12,-103.9577,31.2133
PB13,-103.8458,31.5542
PB14,-103.1511,31.1293
PB16,-103.252,31.125
PB17,-103.1518,30.9968
PB18,-103.1996,31.2008
PB19,-103.0997,31.3031
PB21,-103.0622,31.3419
PB22,-103.0769,31.2117
PB30,-103.3227,31.2804
PB32,-103.3728,31.1031
PB33,-104.054,31.5349
PCOS,-103.5101,31.4089
PECS,-103.867,31.3705
